mysql> show databases;
+--------------------+
| Database           |
+--------------------+
| information_schema |
| instagram_clone_db |
| mysql              |
| performance_schema |
| pfs3               |
| sys                |
+--------------------+
6 rows in set (0.04 sec)

mysql> use instagram_clone_db;
Database changed
mysql> show tables;
+------------------------------+
| Tables_in_instagram_clone_db |
+------------------------------+
| comments                     |
| follows                      |
| likes                        |
| photo_tags                   |
| photos                       |
| tags                         |
| users                        |
+------------------------------+
7 rows in set (0.02 sec)

mysql> select*from users;
+-----+-----------------------+---------------------+
| id  | username              | created_at          |
+-------------+--------------+------+-----+---------+----------------+
| Field       | Type         | Null | Key | Default | Extra          |
+-------------+--------------+------+-----+---------+----------------+
| customer_id | int          | NO   | PRI | NULL    | auto_increment |
| name        | varchar(100) | YES  |     | NULL    |                |
| phone       | varchar(15)  | YES  |     | NULL    |                |
| city        | varchar(50)  | YES  |     | NULL    |                |
+-------------+--------------+------+-----+---------+----------------+
4 rows in set (0.00 sec)

mysql> select name,phone from customers where city='Mumbai';
+--------------+------------+
| name         | phone      |
+--------------+------------+
| Rahul Sharma | 9876543210 |
| Vikram Singh | 7766554433 |
+--------------+------------+
2 rows in set (0.00 sec)

Intermediate Level Queries
============================
5Q.Payment analysis : how many orders were paid using 'UPI'?
mysql> desc orders;
+--------------+---------------------------+------+-----+---------+----------------+
| Field        | Type                      | Null | Key | Default | Extra          |
+--------------+---------------------------+------+-----+---------+----------------+
| order_id     | int                       | NO   | PRI | NULL    | auto_increment |
| customer_id  | int                       | YES  | MUL | NULL    |                |
| order_date   | date                      | YES  |     | NULL    |                |
| total_amount | decimal(10,2)             | YES  |     | NULL    |                |
| payment_mode | enum('UPI','Cash','Card') | YES  |     | NULL    |                |
+--------------+---------------------------+------+-----+---------+----------------+
5 rows in set (0.00 sec)

mysql> select payment_mode,count(*) as orders_count from orders where payment_mode='UPI';
+--------------+--------------+
| payment_mode | orders_count |
+--------------+--------------+
| UPI          |            2 |
+--------------+--------------+
1 row in set (0.00 sec)

6Q. supplier count: count how many medicines are supplied by 'apollo distributors'(use subquery or join)
mysql> select*from suppliers;
+-------------+----------------------+----------------+------------+
| supplier_id | supplier_name        | contact_person | phone      |
+-------------+----------------------+----------------+------------+
|           1 | Apollo Distributors  | Rajesh Gupta   | 022-123456 |
|           2 | MedPlus Supply Chain | Suresh Nair    | 040-987654 |
|           3 | Himalaya Wellness    | Anjali Mehta   | 011-456789 |
+-------------+----------------------+----------------+------------+
3 rows in set (0.00 sec)

mysql> select*from medicines;
+-------------+--------------+-----------+--------+----------------+-------------+-------------+
| medicine_id | name         | category  | price  | stock_quantity | expiry_date | supplier_id |
+-------------+--------------+-----------+--------+----------------+-------------+-------------+
|           1 | Dolo 650     | Tablet    |  30.00 |            500 | 2025-12-31  |           1 |
|           2 | Azithral 500 | Tablet    | 120.00 |             50 | 2024-05-20  |           1 |
|           3 | Benadryl     | Syrup     | 110.00 |             20 | 2024-11-15  |           2 |
|           4 | Combiflam    | Tablet    |  45.00 |            200 | 2026-01-01  |           3 |
|           5 | Insulin Pen  | Injection | 800.00 |              5 | 2024-03-10  |           2 |
+-------------+--------------+-----------+--------+----------------+-------------+-------------+
5 rows in set (0.00 sec)

mysql> select s.supplier_name,count(m.medicine_id) as medicines_count from medicines m join suppliers s on s.supplier_id=m.supplier_id group by s.supplier_name having s.supplier_name='Apollo Distributors'; 
+---------------------+-----------------+
| supplier_name       | medicines_count |
+---------------------+-----------------+
| Apollo Distributors |               2 |
+---------------------+-----------------+
1 row in set (0.00 sec)

7Q. Order details: List the customer name,order date,and total amount for every order placed
mysql> select *from customers;
+-------------+--------------+------------+-----------+
| customer_id | name         | phone      | city      |
+-------------+--------------+------------+-----------+
|           1 | Rahul Sharma | 9876543210 | Mumbai    |
|           2 | Priya Verma  | 9123456789 | Delhi     |
|           3 | Amit Patel   | 9988776655 | Ahmedabad |
|           4 | Sneha Reddy  | 8877665544 | Hyderabad |
|           5 | Vikram Singh | 7766554433 | Mumbai    |
+-------------+--------------+------------+-----------+
5 rows in set (0.00 sec)

mysql> select *from orders;
+----------+-------------+------------+--------------+--------------+
| order_id | customer_id | order_date | total_amount | payment_mode |
+----------+-------------+------------+--------------+--------------+
|        1 |           1 | 2023-10-01 |       150.00 | UPI          |
|        2 |           2 | 2023-10-02 |       240.00 | Card         |
|        3 |           3 | 2023-10-05 |        45.00 | Cash         |
|        4 |           1 | 2023-10-10 |       800.00 | UPI          |
|        5 |           4 | 2023-10-12 |      1200.00 | Card         |
+----------+-------------+------------+--------------+--------------+
5 rows in set (0.00 sec)

mysql> select c.name as customer_name,o.order_date,o.total_amount from orders o left join customers c on c.customer_id=o.customer_id;
+---------------+------------+--------------+
| customer_name | order_date | total_amount |
+---------------+------------+--------------+
| Rahul Sharma  | 2023-10-01 |       150.00 |
| Priya Verma   | 2023-10-02 |       240.00 |
| Amit Patel    | 2023-10-05 |        45.00 |
| Rahul Sharma  | 2023-10-10 |       800.00 |
| Sneha Reddy   | 2023-10-12 |      1200.00 |
+---------------+------------+--------------+
5 rows in set (0.00 sec)

8Q. Revenue by mode: calculate the total money earned through each payment mode(upi,card,cash)
mysql> select payment_mode,sum(total_amount) as total_money from orders group by payment_mode;
+--------------+-------------+
| payment_mode | total_money |
+--------------+-------------+
| UPI          |      950.00 |
| Card         |     1440.00 |
| Cash         |       45.00 |
+--------------+-------------+
3 rows in set (0.00 sec)

mysql> select payment_mode,sum(total_amount) as total_money from orders group by payment_mode order by total_money desc;
+--------------+-------------+
| payment_mode | total_money |
+--------------+-------------+
| Card         |     1440.00 |
| UPI          |      950.00 |
| Cash         |       45.00 |
+--------------+-------------+
3 rows in set (0.00 sec)

Complex Level Queries
=======================
9Q.Best Selling medicine
mysql> select *from medicines;
+-------------+--------------+-----------+--------+----------------+-------------+-------------+
| medicine_id | name         | category  | price  | stock_quantity | expiry_date | supplier_id |
+-------------+--------------+-----------+--------+----------------+-------------+-------------+
|           1 | Dolo 650     | Tablet    |  30.00 |            500 | 2025-12-31  |           1 |
|           2 | Azithral 500 | Tablet    | 120.00 |             50 | 2024-05-20  |           1 |
|           3 | Benadryl     | Syrup     | 110.00 |             20 | 2024-11-15  |           2 |
|           4 | Combiflam    | Tablet    |  45.00 |            200 | 2026-01-01  |           3 |
|           5 | Insulin Pen  | Injection | 800.00 |              5 | 2024-03-10  |           2 |
+-------------+--------------+-----------+--------+----------------+-------------+-------------+
5 rows in set (0.00 sec)

mysql> select *from order_items;
+---------+----------+-------------+----------+----------+
| item_id | order_id | medicine_id | quantity | subtotal |
+---------+----------+-------------+----------+----------+
|       1 |        1 |           1 |        5 |   150.00 |
|       2 |        2 |           2 |        2 |   240.00 |
|       3 |        3 |           4 |        1 |    45.00 |
|       4 |        4 |           5 |        1 |   800.00 |
|       5 |        5 |           5 |        1 |   800.00 |
|       6 |        5 |           2 |        2 |   240.00 |
|       7 |        5 |           1 |        5 |   150.00 |
+---------+----------+-------------+----------+----------+
7 rows in set (0.00 sec)

mysql> select m.name,sum(oi.quantity) as medicine_sold_Count from order_items oi join medicines m on oi.medicine_id=m.medicine_id group by m.name order by medicine_sold_count desc limit 1;
+----------+---------------------+
| name     | medicine_sold_Count |
+----------+---------------------+
| Dolo 650 |                  10 |
+----------+---------------------+
1 row in set (0.00 sec)

10Q.Customer lifetime value: list the names of customers who have spend more than 1000rs in their life tim
mysql> select*from customers;
+-------------+--------------+------------+-----------+
| customer_id | name         | phone      | city      |
+-------------+--------------+------------+-----------+
|           1 | Rahul Sharma | 9876543210 | Mumbai    |
|           2 | Priya Verma  | 9123456789 | Delhi     |
|           3 | Amit Patel   | 9988776655 | Ahmedabad |
|           4 | Sneha Reddy  | 8877665544 | Hyderabad |
|           5 | Vikram Singh | 7766554433 | Mumbai    |
+-------------+--------------+------------+-----------+
5 rows in set (0.00 sec)

mysql> select*from orders;
+----------+-------------+------------+--------------+--------------+
| order_id | customer_id | order_date | total_amount | payment_mode |
+----------+-------------+------------+--------------+--------------+
|        1 |           1 | 2023-10-01 |       150.00 | UPI          |
|        2 |           2 | 2023-10-02 |       240.00 | Card         |
|        3 |           3 | 2023-10-05 |        45.00 | Cash         |
|        4 |           1 | 2023-10-10 |       800.00 | UPI          |
|        5 |           4 | 2023-10-12 |      1200.00 | Card         |
+----------+-------------+------------+--------------+--------------+
5 rows in set (0.00 sec)

mysql> select c.name,sum(o.total_amount) as total_spent from orders o join customers c on c.customer_id=o.customer_id group by c.customer_id,c.name having total_spent>1000;
+-------------+-------------+
| name        | total_spent |
+-------------+-------------+
| Sneha Reddy |     1200.00 |
+-------------+-------------+
1 row in set (0.00 sec)

Q.inventory audit: list the medicine name, stock quantity and supplier name for medicines that have less than 50 units of stock quantity
mysql> select *from medicines;
+-------------+--------------+-----------+--------+----------------+-------------+-------------+
| medicine_id | name         | category  | price  | stock_quantity | expiry_date | supplier_id |
+-------------+--------------+-----------+--------+----------------+-------------+-------------+
|           1 | Dolo 650     | Tablet    |  30.00 |            500 | 2025-12-31  |           1 |
|           2 | Azithral 500 | Tablet    | 120.00 |             50 | 2024-05-20  |           1 |
|           3 | Benadryl     | Syrup     | 110.00 |             20 | 2024-11-15  |           2 |
|           4 | Combiflam    | Tablet    |  45.00 |            200 | 2026-01-01  |           3 |
|           5 | Insulin Pen  | Injection | 800.00 |              5 | 2024-03-10  |           2 |
+-------------+--------------+-----------+--------+----------------+-------------+-------------+
5 rows in set (0.00 sec)

mysql> select *from suppliers;
+-------------+----------------------+----------------+------------+
| supplier_id | supplier_name        | contact_person | phone      |
+-------------+----------------------+----------------+------------+
|           1 | Apollo Distributors  | Rajesh Gupta   | 022-123456 |
|           2 | MedPlus Supply Chain | Suresh Nair    | 040-987654 |
|           3 | Himalaya Wellness    | Anjali Mehta   | 011-456789 |
+-------------+----------------------+----------------+------------+
3 rows in set (0.00 sec)

mysql> select m.name,m.stock_quantity,s.supplier_name from medicines m join suppliers s on m.supplier_id=s.supplier_id where m.stock_quantity<50;
+-------------+----------------+----------------------+
| name        | stock_quantity | supplier_name        |
+-------------+----------------+----------------------+
| Benadryl    |             20 | MedPlus Supply Chain |
| Insulin Pen |              5 | MedPlus Supply Chain |
+-------------+----------------+----------------------+
2 rows in set (0.00 sec)

mysql> select m.name,m.stock_quantity,s.supplier_name from medicines m join suppliers s on m.supplier_id=s.supplier_id where m.stock_quantity<=50;
+--------------+----------------+----------------------+
| name         | stock_quantity | supplier_name        |
+--------------+----------------+----------------------+
| Azithral 500 |             50 | Apollo Distributors  |
| Benadryl     |             20 | MedPlus Supply Chain |
| Insulin Pen  |              5 | MedPlus Supply Chain |
+--------------+----------------+----------------------+
3 rows in set (0.00 sec)

mysql> Terminal close -- exit!
